uses_2fa,clicks_unknown_links,reuses_passwords,uses_public_wifi,social_media_apps,updates_software,shares_personal_data,grants_all_permissions,avg_password_length,cyber_risk_level
0,0,0,1,3,1,1,0,11,Low
1,1,0,1,6,1,0,0,15,Moderate
0,1,1,0,1,1,0,0,9,Moderate
1,1,1,1,8,1,1,1,14,High
0,0,1,1,7,1,0,0,14,Moderate
1,0,1,0,8,0,1,0,8,High
0,1,1,1,10,1,0,0,15,High
0,1,0,1,2,1,1,0,7,Moderate
1,0,1,1,4,1,0,1,7,Moderate
1,1,0,1,10,0,0,1,11,High
1,0,0,0,2,1,1,0,10,Low
0,1,1,0,9,1,1,0,8,High
1,0,1,1,5,0,0,0,12,Moderate
0,1,0,0,3,0,0,1,5,Moderate
1,0,0,1,8,0,0,0,6,Moderate
0,0,1,1,7,1,0,0,14,Moderate
0,1,1,1,10,0,1,0,4,High
1,0,1,1,10,0,1,0,6,High
1,0,1,0,2,0,1,1,13,Moderate
0,0,0,0,7,0,1,0,8,Moderate
0,1,1,1,10,0,0,0,11,High
0,0,1,1,4,1,0,1,11,Moderate
0,0,1,1,10,1,1,1,11,High
0,1,0,1,8,1,0,0,7,High
0,0,1,1,10,0,1,0,6,High
1,0,0,0,7,0,1,1,11,Moderate
1,1,0,1,2,0,1,1,9,High
1,0,0,1,4,1,1,0,7,Moderate
0,0,1,1,7,0,0,1,12,High
1,0,1,0,9,0,1,1,10,High
1,1,0,1,2,1,0,0,7,Moderate
1,0,1,1,8,0,1,0,10,High
0,0,0,1,4,0,0,1,9,Moderate
0,1,0,0,2,0,0,1,12,Moderate
0,0,0,0,6,1,0,1,12,Low
1,0,0,0,7,0,1,0,6,Moderate
1,1,0,0,10,1,1,1,6,High
0,0,0,0,6,0,0,1,11,Moderate
1,1,0,1,10,0,0,1,14,High
0,0,1,1,7,0,0,1,10,High
0,1,1,1,9,0,0,1,16,High
1,1,0,0,4,0,0,0,6,Moderate
0,1,0,1,8,1,0,1,4,High
1,1,1,1,3,0,1,1,5,High
1,1,0,0,2,0,0,0,13,Low
1,1,0,0,1,1,0,1,8,Low
0,0,1,0,7,1,1,1,5,High
0,1,0,1,1,1,0,0,15,Low
0,1,0,0,7,0,1,0,7,High
1,0,1,1,9,0,1,0,16,High
0,1,0,1,3,0,1,1,7,High
0,0,1,0,7,1,1,1,5,High
1,1,0,0,9,0,1,1,10,High
1,1,1,1,10,1,0,0,14,High
0,0,1,0,6,1,0,1,13,Moderate
0,0,0,0,5,1,0,0,15,Low
1,1,0,1,6,1,0,0,7,Moderate
0,1,1,1,2,1,1,1,16,High
0,1,0,1,9,1,0,1,11,High
0,1,1,1,4,1,0,1,7,High
1,1,1,0,4,0,1,1,12,High
1,0,1,1,9,1,0,0,11,Moderate
0,1,0,1,2,0,0,0,5,Moderate
0,1,0,0,9,0,1,1,7,High
1,1,1,0,3,1,0,1,11,Moderate
1,1,1,0,6,0,1,1,7,High
1,0,0,0,8,0,0,1,16,Moderate
1,0,1,0,9,0,0,1,5,High
1,1,0,0,6,0,1,0,13,Moderate
1,0,0,0,5,0,1,0,6,Moderate
0,1,1,1,3,1,0,0,14,Moderate
1,0,0,0,8,0,0,1,4,Moderate
1,1,0,0,3,1,1,1,14,Moderate
0,1,1,1,8,0,0,1,7,High
1,0,0,0,4,1,0,1,7,Low
1,1,1,0,5,1,1,1,6,High
1,1,0,0,6,1,0,0,11,Low
1,0,1,1,1,0,0,1,12,Moderate
0,0,0,1,8,1,1,0,8,High
1,0,0,1,8,1,0,1,15,Moderate
0,1,1,0,7,0,0,0,11,Moderate
0,0,0,1,2,0,0,0,10,Low
0,1,0,0,8,0,0,0,11,Moderate
1,0,0,0,5,0,0,1,11,Low
1,0,1,0,10,1,1,1,14,High
1,1,1,1,3,0,0,1,11,Moderate
0,1,1,0,6,1,0,0,11,Moderate
0,0,1,0,7,1,0,1,4,Moderate
0,1,0,1,9,1,1,1,5,High
0,0,0,1,9,0,1,0,4,High
1,1,0,0,4,1,0,0,6,Low
1,1,1,0,9,1,1,1,16,High
0,0,1,0,2,1,1,1,12,Moderate
0,0,1,1,9,0,0,1,6,High
0,1,1,1,3,0,0,1,8,High
1,1,1,0,9,1,1,0,12,Moderate
1,0,1,0,2,1,0,0,7,Low
0,0,1,0,4,1,0,0,10,Low
0,0,1,1,8,0,1,1,5,High
0,0,0,0,7,0,1,0,14,Moderate
0,1,1,1,7,1,0,0,13,Moderate
1,0,1,1,4,1,0,0,8,Moderate
1,0,1,0,3,1,0,1,9,Moderate
1,1,1,1,3,1,0,1,16,Moderate
1,0,1,0,9,1,1,1,7,High
0,0,1,0,6,1,1,0,15,Moderate
0,1,1,0,8,1,1,1,11,High
1,1,1,0,2,0,1,0,6,Moderate
0,1,1,0,6,0,1,0,11,High
1,0,0,1,6,1,1,0,10,Moderate
0,1,1,1,10,0,1,1,4,High
0,1,0,0,2,0,1,1,9,High
1,0,0,0,5,1,1,0,16,Low
0,1,1,0,6,1,1,1,12,High
0,0,0,1,7,1,1,1,10,Moderate
0,1,0,0,10,1,1,1,9,High
1,1,1,1,10,0,0,1,14,High
0,0,0,0,6,0,0,1,4,Moderate
0,1,1,1,5,0,0,0,15,Moderate
0,0,0,0,5,0,1,0,7,Moderate
0,1,0,0,4,1,0,0,13,Low
1,0,1,0,7,0,1,0,9,Moderate
0,0,1,1,3,1,0,1,10,Moderate
1,1,1,1,8,1,0,1,4,High
1,1,0,0,8,0,0,1,9,High
0,1,1,1,10,0,0,1,6,High
0,1,0,1,8,1,1,1,13,High
0,1,0,0,7,0,1,1,6,High
0,1,0,1,6,0,0,0,12,Moderate
1,1,0,1,2,1,1,1,8,High
0,0,0,1,10,0,1,1,9,High
1,1,1,0,8,1,0,0,7,Moderate
0,1,1,1,5,0,0,1,12,High
1,1,0,1,10,1,0,0,9,High
1,0,1,0,2,1,1,1,10,Moderate
1,0,1,1,6,0,0,1,5,High
0,1,0,0,5,1,1,1,16,Moderate
0,1,0,0,3,1,0,0,12,Low
0,0,1,0,10,0,0,1,12,High
1,1,1,1,2,0,1,1,4,High
1,0,1,0,9,0,0,1,11,Moderate
0,0,1,1,6,0,1,0,13,High
0,0,0,0,9,1,1,0,15,Moderate
0,0,0,1,2,1,1,1,6,Moderate
0,1,0,0,9,1,1,1,7,High
0,0,0,1,5,1,0,0,6,Moderate
0,1,1,0,1,1,0,0,7,Moderate
1,0,1,1,9,1,1,0,14,Moderate
1,0,0,0,4,1,0,0,15,Low
1,0,1,0,10,0,0,1,13,Moderate
1,1,0,1,6,0,1,1,15,High
1,1,1,0,1,1,1,1,13,Moderate
0,1,0,0,8,1,0,1,11,Moderate
1,0,1,0,3,0,0,1,6,Moderate
1,1,0,0,4,0,0,1,13,Moderate
1,0,1,1,5,1,1,0,14,Moderate
0,1,1,1,3,0,1,0,12,High
1,1,0,1,1,0,1,0,9,Moderate
1,1,0,1,7,0,1,0,14,Moderate
1,0,0,1,5,1,0,0,6,Low
1,1,1,1,1,1,1,0,8,Moderate
1,0,0,0,9,0,1,0,15,Moderate
0,0,0,0,10,1,0,1,6,Moderate
0,1,0,1,5,1,1,1,6,High
1,0,1,1,8,1,0,1,13,Moderate
1,0,0,1,5,0,0,1,4,Moderate
0,0,0,0,7,0,1,0,10,Moderate
0,0,1,0,8,0,0,0,15,Moderate
1,0,1,1,1,0,1,0,8,Moderate
0,0,0,0,6,0,0,0,16,Low
0,0,1,0,8,0,0,1,14,Moderate
1,1,1,1,10,0,1,1,11,High
1,0,0,0,4,1,0,1,14,Low
0,0,1,1,5,1,1,0,5,High
0,0,1,1,5,0,1,1,13,High
0,1,1,0,1,0,1,0,6,Moderate
0,1,1,0,5,0,1,0,5,High
1,1,1,1,6,0,1,1,6,High
0,1,1,1,5,0,0,1,6,High
0,0,1,0,8,0,1,0,11,Moderate
0,0,0,1,4,0,0,0,8,Moderate
1,0,0,1,1,1,0,0,6,Low
1,0,0,1,4,1,0,1,16,Low
0,0,1,0,5,1,1,1,12,Moderate
0,0,1,1,4,1,1,0,7,High
1,1,0,0,9,0,0,0,9,Moderate
1,0,0,0,2,0,1,0,8,Low
0,1,1,0,10,1,1,0,6,High
1,0,1,1,1,0,0,0,16,Low
1,0,1,0,1,1,1,0,10,Low
0,1,0,0,10,1,1,0,12,Moderate
0,0,0,0,6,1,0,1,6,Moderate
1,1,0,1,9,0,0,1,12,High
1,0,0,1,6,0,0,0,6,Moderate
0,1,0,1,5,0,0,1,15,Moderate
1,0,1,0,4,1,0,0,15,Low
1,1,1,1,9,0,0,0,11,High
0,0,0,1,5,1,0,0,14,Low
0,1,1,1,6,0,1,0,12,High
1,1,0,1,6,1,0,1,6,High
